palavras,n_ocorrencias,desvio_padrao
mais,6,235.908456821709
mardi,11,235.807047469671
holt,3,235.763299377433
fries,18,235.687043243665
oats,3,235.611969135696
automobiles,3,235.491684212699
mozzarella,7,235.396423487011
cwc,3,235.270765998101
nrm,3,235.245262084773
careening,4,235.206292432834
bubbling,4,235.070202280085
pamelajustice,8,235.033128364006
bluekentucky,3,234.981559560178
longview,3,234.981559560178
trendy,3,234.981559560178
yos,3,234.947511868786
tories,103,234.935187161015
sweetness,10,234.862702208948
stony,3,234.662168517495
champs,8,234.555506680798
snappyg,3,234.448999429158
ericswalwel,3,234.404209290988
championship,72,234.369406245194
realtime,3,234.350876536303
waymo,12,234.343748421507
entails,5,234.34227104814
jax,21,234.191933902007
overrated,9,233.94123193657
gpt,6,233.939878316346
barbisblue,10,233.938857159064
mrsquirrel,7,233.934463757124
anime,8,233.908368811379
mb,14,233.743590145411
lunch,258,233.60058112605
nachos,16,233.493147651061
ifill,3,233.324523643215
usefulness,3,233.315951733552
bbq,22,233.311470837253
fungus,10,233.265347238338
furore,3,233.258083103959
archiemom,3,233.249508752609
ember,4,233.249508752609
gegen,3,233.24093408605
rns,3,233.155170076354
anitammartinez,3,233.051496455183
gazprom,3,232.961370188278
incomes,11,232.886433501591
traitortot,3,232.57901883016
lions,26,232.521085892474
noodle,15,232.482933321382
royce,4,232.424001916038
reassure,7,232.414141853144
tfw,3,232.336680989751
organisms,4,232.320181358974
starry,6,232.257974387677
cummings,11,232.210601903452
journée,4,232.207522129093
sloth,4,232.13071030492
storms,62,232.11226347531
potato,39,231.958384861794
homemade,27,231.95227429335
android,65,231.911655303015
malfeasance,11,231.828149518325
dizziness,3,231.816737963418
iz,11,231.678264370696
saneman,3,231.651318436424
speers,3,231.605267643031
pithint,3,231.595192811365
baked,45,231.572745295374
sustainability,10,231.572402884665
champ,10,231.504355610573
alexei,11,231.419571734584
seventy,12,231.321827501833
wizards,3,231.317962986016
ikea,10,231.304128800158
ℍ,3,231.115411284781
formulate,4,231.080613639483
blts,14,231.000166500106
birdman,3,230.946602775043
alicia,9,230.826654536352
shoulda,3,230.800779894696
visualize,6,230.677624980549
adelaide,3,230.469810025811
cautioned,3,230.397482625136
wolverine,7,230.380017321278
grueling,3,230.27013122273
schadenfreude,17,230.264394070101
freaky,6,230.171023371753
dispenser,6,230.121199950519
constellations,4,230.081688392043
surface,58,230.074400759966
pixel,9,230.067985121307
barney,5,229.963040508687
profane,3,229.926799945838
sud,3,229.893453582306
belatedly,4,229.761470515257
harboring,3,229.419557434264
lentil,3,229.384684173406
starmers,3,229.37378519206
cockroach,3,229.37305857489
kanekavi,41,229.257055640553
recreate,3,229.235686576065
kayfabe,4,229.231324212028
toeing,3,229.173151423402
moi,13,229.141010218823
